! =====================================================================
! 1. CABECALHO DA MALHA
! [N� de Nos Fisicos]  [N� de Elementos]  [Ordem VEM (k)]  [DOFs por No]
! =====================================================================
45  28  1  2

! =====================================================================
! 2. COORDENADAS E TIPOS DOS NOS (1=Vertice, 2=Aresta)
! [X]  [Y]  [type_id]
! =====================================================================
! No 1
5.67357985419936E+03  1.31444349173197E+03  1
! No 2
5.67117985419936E+03  1.31444349173197E+03  1
! No 3
5.67117985419936E+03  1.31264349173197E+03  1
! No 4
5.67357985419936E+03  1.31264349173197E+03  1
! No 5
5.66877985419936E+03  1.31444349173197E+03  1
! No 6
5.66877985419936E+03  1.31264349173197E+03  1
! No 7
5.67357985419936E+03  1.30964349173197E+03  1
! No 8
5.67117985419936E+03  1.30964349173197E+03  1
! No 9
5.67117985419936E+03  1.30784349173197E+03  1
! No 10
5.67357985419936E+03  1.30784349173197E+03  1
! No 11
5.66877985419936E+03  1.30964349173197E+03  1
! No 12
5.66877985419936E+03  1.30784349173197E+03  1
! No 13
5.67357985419936E+03  1.30484349173197E+03  1
! No 14
5.67117985419936E+03  1.30484349173197E+03  1
! No 15
5.67117985419936E+03  1.30304349173198E+03  1
! No 16
5.67357985419936E+03  1.30304349173198E+03  1
! No 17
5.66877985419936E+03  1.30484349173197E+03  1
! No 18
5.66877985419936E+03  1.30304349173198E+03  1
! No 19
5.67357985419936E+03  1.30004349173198E+03  1
! No 20
5.67117985419936E+03  1.30004349173198E+03  1
! No 21
5.67117985419936E+03  1.29824349173198E+03  1
! No 22
5.67357985419936E+03  1.29824349173198E+03  1
! No 23
5.66877985419936E+03  1.30004349173198E+03  1
! No 24
5.66877985419936E+03  1.29824349173198E+03  1
! No 25
5.66577985419936E+03  1.31264349173197E+03  1
! No 26
5.66577985419936E+03  1.31444349173197E+03  1
! No 27
5.66277985419936E+03  1.31264349173197E+03  1
! No 28
5.66277985419936E+03  1.31444349173197E+03  1
! No 29
5.66277985419936E+03  1.30964349173197E+03  1
! No 30
5.66577985419936E+03  1.30964349173197E+03  1
! No 31
5.66577985419936E+03  1.30784349173197E+03  1
! No 32
5.66277985419936E+03  1.30784349173197E+03  1
! No 33
5.66277985419936E+03  1.30484349173198E+03  1
! No 34
5.66577985419936E+03  1.30484349173198E+03  1
! No 35
5.66577985419936E+03  1.30304349173198E+03  1
! No 36
5.66277985419936E+03  1.30304349173198E+03  1
! No 37
5.66277985419936E+03  1.30004349173198E+03  1
! No 38
5.66577985419936E+03  1.30004349173198E+03  1
! No 39
5.67117985419936E+03  1.29524349173198E+03  1
! No 40
5.67357985419936E+03  1.29524349173198E+03  1
! No 41
5.66577985419936E+03  1.29824349173198E+03  1
! No 42
5.66277985419936E+03  1.29824349173198E+03  1
! No 43
5.66877985419936E+03  1.29524349173198E+03  1
! No 44
5.66277985419936E+03  1.29524349173198E+03  1
! No 45
5.66577985419936E+03  1.29524349173198E+03  1

! =====================================================================
! 3. CONECTIVIDADE DOS ELEMENTOS (Sentido Anti-Horario)
! =====================================================================
! Elemento 1 (4 nos de borda)
4
1  2  3  4  
! Elemento 2 (4 nos de borda)
4
2  5  6  3  
! Elemento 3 (4 nos de borda)
4
7  8  9  10  
! Elemento 4 (4 nos de borda)
4
8  11  12  9  
! Elemento 5 (4 nos de borda)
4
13  14  15  16  
! Elemento 6 (4 nos de borda)
4
14  17  18  15  
! Elemento 7 (4 nos de borda)
4
19  20  21  22  
! Elemento 8 (4 nos de borda)
4
20  23  24  21  
! Elemento 9 (4 nos de borda)
4
3  8  7  4  
! Elemento 10 (4 nos de borda)
4
25  6  5  26  
! Elemento 11 (4 nos de borda)
4
27  25  26  28  
! Elemento 12 (4 nos de borda)
4
6  11  8  3  
! Elemento 13 (4 nos de borda)
4
29  30  25  27  
! Elemento 14 (4 nos de borda)
4
9  14  13  10  
! Elemento 15 (4 nos de borda)
4
31  12  11  30  
! Elemento 16 (4 nos de borda)
4
32  31  30  29  
! Elemento 17 (4 nos de borda)
4
12  17  14  9  
! Elemento 18 (4 nos de borda)
4
33  34  31  32  
! Elemento 19 (4 nos de borda)
4
15  20  19  16  
! Elemento 20 (4 nos de borda)
4
35  18  17  34  
! Elemento 21 (4 nos de borda)
4
36  35  34  33  
! Elemento 22 (4 nos de borda)
4
18  23  20  15  
! Elemento 23 (4 nos de borda)
4
37  38  35  36  
! Elemento 24 (4 nos de borda)
4
21  39  40  22  
! Elemento 25 (4 nos de borda)
4
41  24  23  38  
! Elemento 26 (4 nos de borda)
4
42  41  38  37  
! Elemento 27 (4 nos de borda)
4
24  43  39  21  
! Elemento 28 (4 nos de borda)
4
44  45  41  42  

! =====================================================================
! 4. CONDICOES DE CONTORNO DE DIRICHLET (Deslocamentos Prescritos)
! =====================================================================
10
39  1  0.00000000000000E+00   
39  2  0.00000000000000E+00   
40  1  0.00000000000000E+00   
40  2  0.00000000000000E+00   
43  1  0.00000000000000E+00   
43  2  0.00000000000000E+00 
44  1  0.00000000000000E+00   
44  2  0.00000000000000E+00
45  1  0.00000000000000E+00   
45  2  0.00000000000000E+00  

! =====================================================================
! 5. MOLAS ELASTICAS CONCENTRADAS
! =====================================================================
0
