! =====================================================================
! 1. CABECALHO DA MALHA
! [N� de Nos Fisicos]  [N� de Elementos]  [Ordem VEM (k)]  [DOFs por No]
! =====================================================================
32  3  2  2

! =====================================================================
! 2. COORDENADAS E TIPOS DOS NOS (1=Vertice, 2=Aresta)
! [X]  [Y]  [type_id]
! =====================================================================
! No 1
6.18029369282175E+03  1.57381291979334E+03  1
! No 2
6.16314119282175E+03  1.58525291979334E+03  1
! No 3
6.11166869282175E+03  1.55093791979334E+03  1
! No 4
6.06019619282175E+03  1.51662291979334E+03  1
! No 5
6.09451119282175E+03  1.51662291979334E+03  1
! No 6
6.12882619282175E+03  1.51662291979334E+03  1
! No 7
6.16313619282175E+03  1.53949791979334E+03  1
! No 8
6.19744619282175E+03  1.56237291979334E+03  1
! No 9
6.26607119282175E+03  1.56237291979334E+03  1
! No 10
6.23175869282175E+03  1.58524791979334E+03  1
! No 11
6.19744619282175E+03  1.60812291979334E+03  1
! No 12
6.23175869282175E+03  1.56237291979334E+03  1
! No 13
6.33469619282175E+03  1.51662291979334E+03  1
! No 14
6.30038369282175E+03  1.53949791979334E+03  1
! No 15
6.23176119282175E+03  1.51662291979334E+03  1
! No 16
6.17171744282175E+03  1.57953291979334E+03  2
! No 17
6.13740494282175E+03  1.56809541979334E+03  2
! No 18
6.08593244282175E+03  1.53378041979334E+03  2
! No 19
6.07735369282175E+03  1.51662291979334E+03  2
! No 20
6.11166869282175E+03  1.51662291979334E+03  2
! No 21
6.14598119282175E+03  1.52806041979334E+03  2
! No 22
6.18029119282175E+03  1.55093541979334E+03  2
! No 23
6.18886994282175E+03  1.56809291979334E+03  2
! No 24
6.24891494282175E+03  1.57381041979334E+03  2
! No 25
6.21460244282175E+03  1.59668541979334E+03  2
! No 26
6.18029369282175E+03  1.59668791979334E+03  2
! No 27
6.21460244282175E+03  1.56237291979334E+03  2
! No 28
6.24891494282175E+03  1.56237291979334E+03  2
! No 29
6.31753994282175E+03  1.52806041979334E+03  2
! No 30
6.28322744282175E+03  1.55093541979334E+03  2
! No 31
6.18029369282175E+03  1.51662291979334E+03  2
! No 32
6.28322869282175E+03  1.51662291979334E+03  2

! =====================================================================
! 3. CONECTIVIDADE DOS ELEMENTOS (Sentido Anti-Horario)
! =====================================================================
! Elemento 1 (16 nos de borda)
16
1  16  2  17  3  18  4  19  5  20  6  21  7  22  8  23  
! Elemento 2 (14 nos de borda)
14
9  24  10  25  11  26  2  16  1  23  8  27  12  28  
! Elemento 3 (14 nos de borda)
14
13  29  14  30  9  12  8  22  7  21  6  31  15  32  

! =====================================================================
! 4. CONDICOES DE CONTORNO DE DIRICHLET (Deslocamentos Prescritos)
! =====================================================================
10
66  1  0.00000000000000E+00   
66  2  0.00000000000000E+00   
67  1  0.00000000000000E+00   
67  2  0.00000000000000E+00   
68  1  0.00000000000000E+00   
68  2  0.00000000000000E+00 
138 1  0.00000000000000E+00   
138 2  0.00000000000000E+00   
141 1  0.00000000000000E+00   
141 2  0.00000000000000E+00  


! =====================================================================
! 5. MOLAS ELASTICAS CONCENTRADAS
! =====================================================================
0
